타이타닉,https://movie.naver.com/movie/bi/mi/basic.nhn?code=18847,9.41,https://movie-phinf.pstatic.net/20181129_107/1543452551390CN9TW_JPEG/movie_image.jpg
아바타,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62266,9.07,https://movie-phinf.pstatic.net/20180518_218/1526609377997LxLgL_JPEG/movie_image.jpg
매트릭스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=24452,9.40,https://movie-phinf.pstatic.net/20211210_72/1639104921350Pk5gh_JPEG/movie_image.jpg
반지의 제왕,https://movie.naver.com/movie/bi/mi/basic.nhn?code=31794,9.30,https://movie-phinf.pstatic.net/20210308_290/16151786976685f4Mv_JPEG/movie_image.jpg
어벤져스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=72363,8.80,https://movie-phinf.pstatic.net/20120426_172/1335428116411i030K_JPEG/movie_image.jpg
겨울왕국,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100931,9.13,https://movie-phinf.pstatic.net/20170418_82/1492496178995pHxdA_JPEG/movie_image.jpg
트랜스포머,https://movie.naver.com/movie/bi/mi/basic.nhn?code=61521,8.85,https://movie-phinf.pstatic.net/20111223_180/1324583623164LA0FV_JPEG/movie_image.jpg
해리 포터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=30688,9.36,https://movie-phinf.pstatic.net/20181019_236/1539926790655oHv5z_JPEG/movie_image.jpg
다크나이트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62586,9.34,https://movie-phinf.pstatic.net/20200622_64/15927889581932gf40_JPEG/movie_image.jpg
캐리비안의 해적,https://movie.naver.com/movie/bi/mi/basic.nhn?code=37148,9.07,https://movie-phinf.pstatic.net/20111222_67/1324497057705eJisV_JPEG/movie_image.jpg
